3.4,69.21,1.22,75.77,2.65,81.46,4.94,86.46,7.92,90.87,11.5,94.4,15.95,97.05,21.28,98.9,27.39,99.76,34.48,99.97,42.24,100,50.19
3.5,70.82,1.69,77.06,3.43,82.5,5.97,87.36,9.09,91.58,12.85,94.87,17.55,97.36,23.03,99.06,29.3,99.79,36.52,99.97,44.31,100,52.26
3.6,72.31,2.26,78.28,4.28,83.5,7.04,88.22,10.31,92.21,14.3,95.29,19.2,97.64,24.82,99.2,31.23,99.82,38.56,99.97,46.38,100,54.33
3.7,73.67,2.98,79.39,5.24,84.45,8.16,89.01,11.58,92.77,15.81,95.67,20.88,97.89,26.63,99.33,33.17,99.84,40.61,99.98,48.45,100,56.4
3.8,74.95,3.76,80.44,6.26,85.37,9.31,89.75,12.91,93.28,17.37,96.03,22.6,98.13,28.47,99.43,35.13,99.86,42.66,99.98,50.52,100,58.47
3.9,76.16,4.63,81.44,7.33,86.25,10.5,90.4,14.33,93.73,18.99,96.37,24.33,98.34,30.32,99.51,37.12,99.88,44.71,99.98,52.58,100,60.54
4,77.27,5.58,82.39,8.45,87.07,11.76,91.01,15.8,94.16,20.63,96.69,26.08,98.52,32.21,99.56,39.13,99.89,46.77,99.98,54.65,100,62.61
4.1,78.32,6.6,83.31,9.6,87.82,13.08,91.57,17.31,94.56,22.3,96.98,27.85,98.69,34.1,99.61,41.15,99.9,48.83,99.99,56.72,100,64.68
4.2,79.32,7.68,84.2,10.78,88.48,14.48,92.06,18.88,94.94,23.99,97.24,29.66,98.85,36.01,99.65,43.18,99.91,50.89,99.99,58.79,100,66.75
4.3,80.26,8.8,85.03,12.02,89.13,15.91,92.54,20.48,95.3,25.7,97.48,31.48,98.98,37.95,99.69,45.21,99.92,52.95,99.99,60.85,100,68.82
4.4,81.18,9.95,85.77,13.35,89.72,17.38,92.97,22.11,95.63,27.43,97.7,33.33,99.08,39.91,99.72,47.24,99.93,55.01,99.99,62.92,100,70.89
4.5,82.07,11.13,86.45,14.74,90.25,18.92,93.38,23.78,95.94,29.19,97.9,35.2,99.17,41.89,99.75,49.28,99.94,57.07,100,64.99,100,72.96
4.6,82.89,12.38,87.1,16.16,90.75,20.5,93.77,25.46,96.24,30.96,98.09,37.08,99.25,43.88,99.77,51.34,99.94,59.14,100,67.06,100,75.03
