2019-01-03,15,7,,18.53
2019-01-03,15,8,,16.88
2019-01-03,15,9,,14.42
2019-01-03,15,10,,11.01
2019-01-03,15,11,,8.2
2019-01-03,15,12,,7.56
2019-01-03,16,1,,3.78
2019-01-03,16,8,,6.05
2019-01-04,9,10,,3.14
2019-01-04,9,11,,5.46
2019-01-04,10,2,,3.14
2019-01-04,16,5,,7.76
2019-01-04,16,8,,6.05
2019-01-05,10,2,,3.12
2019-01-06,9,8,,13.01
2019-01-06,9,9,,14.4
2019-01-06,9,10,,11.42
2019-01-06,9,11,,3.46
2019-01-06,9,12,,1.69
2019-01-06,10,1,,2.96
2019-01-06,10,2,,3.16
2019-01-06,10,5,,13.4
2019-01-06,11,4,,23.36
2019-01-06,11,5,,21.48
2019-01-06,11,6,,21.01
2019-01-06,11,7,,20.42
2019-01-06,11,8,,21.38
2019-01-06,11,9,,21.3
2019-01-06,11,10,,20.89
2019-01-06,11,11,,12.94
2019-01-06,11,12,,11.24
2019-01-06,12,5,,1.04
2019-01-06,12,6,,4.4
2019-01-06,12,8,,1.05
2019-01-06,12,9,,3.59
2019-01-06,12,10,,1.22
2019-01-06,13,1,,4.41
2019-01-06,13,2,,2.4
2019-01-06,13,3,,3.66
2019-01-06,14,1,,14.81
2019-01-06,14,6,,202.99
2019-01-06,14,7,,165.17
2019-01-06,14,8,,232.27
2019-01-06,14,9,,10.78
2019-01-06,14,10,,39.17
2019-01-06,14,11,,16
2019-01-06,14,12,,2.37
2019-01-06,15,1,,5.39
2019-01-06,15,2,,5.64
2019-01-06,15,3,,2.92
2019-01-06,15,4,,18.21
2019-01-06,15,5,,18.28
2019-01-06,15,6,,8.37
2019-01-06,16,1,,8.95
2019-01-06,16,3,,10.74
2019-01-06,16,4,,9.06
2019-01-06,16,5,,6.35
2019-01-06,16,8,,4.49
2019-01-07,9,3,,61.03
2019-01-07,9,4,,70.91
2019-01-07,9,5,,71.28
2019-01-07,9,6,,11.6
2019-01-07,9,7,,84.52
2019-01-07,9,8,,85.62
2019-01-07,9,9,,1.61
2019-01-07,10,2,,3.1
2019-01-07,11,1,,33.98
2019-01-07,11,2,,32.05
2019-01-07,11,3,,23.64
2019-01-07,11,4,,23.42
2019-01-07,11,5,,23.18
2019-01-07,11,6,,22.43
2019-01-07,11,8,,4.84
2019-01-07,11,10,,15.31
2019-01-07,11,11,,5.78
2019-01-07,11,12,,14.52
2019-01-07,12,4,,14.4
2019-01-07,12,5,,14.67
2019-01-07,12,7,,1.87
2019-01-07,12,10,,20.37
2019-01-07,12,11,,51.22
2019-01-07,12,12,,15.95
2019-01-07,13,1,,13.37
2019-01-07,13,2,,11.43
2019-01-07,13,3,,14.38
2019-01-07,13,4,,7.87
2019-01-07,13,5,,9.52
2019-01-07,13,6,,4.13
2019-01-07,13,7,,8.97
2019-01-07,13,8,,11.06
2019-01-07,13,9,,19.28
2019-01-07,13,10,,24.23
2019-01-07,13,11,,9.93
2019-01-07,14,1,,4.08
2019-01-07,14,2,,13.65
2019-01-07,14,3,,12.16
2019-01-07,14,4,,8.03
2019-01-07,14,5,,11.08
2019-01-07,14,6,,24.8
2019-01-07,14,7,,10.24
2019-01-07,14,8,,9.14
2019-01-07,14,9,,2.07
2019-01-07,14,10,,7.51
2019-01-07,14,11,,5.05
2019-01-07,14,12,,11.91
2019-01-07,15,1,,68.88
2019-01-07,15,2,,91.68
2019-01-07,15,3,,39.64
2019-01-07,15,4,,30.86
2019-01-07,15,5,,4.97
2019-01-07,15,6,,1.99
2019-01-07,15,7,,1.47
2019-01-07,16,1,,3.91
2019-01-07,16,5,,4.48
2019-01-07,16,8,,3.75
2019-01-08,10,8,,3.98
2019-01-08,10,10,,84.03
2019-01-08,10,11,2.76,294.94
2019-01-08,10,12,2.5,324.98
2019-01-08,11,1,,163.23
2019-01-08,11,2,,6.44
2019-01-08,11,4,,6.04
2019-01-08,11,5,,3.03
2019-01-08,11,8,,163.7
2019-01-08,11,9,2.31,233.07
2019-01-08,11,10,2.14,332.45
2019-01-08,11,11,2.33,243.83
2019-01-08,11,12,,157.83
2019-01-08,12,1,3.69,303.58
2019-01-08,12,2,2.35,215.09
2019-01-08,12,3,,25.85
2019-01-08,12,4,,206.58
2019-01-08,12,5,,42.79
2019-01-08,12,6,,112.53
2019-01-08,12,7,,91.46
2019-01-08,12,8,2.49,274.46
2019-01-08,12,9,,26.87
2019-01-08,12,10,,52.57
2019-01-08,12,11,,193.48
2019-01-08,12,12,1.46,168.52
2019-01-08,13,1,,66.82
2019-01-08,13,2,,124.63
2019-01-08,13,3,,190.15
2019-01-08,13,4,,33.92
2019-01-08,13,5,,9.86
2019-01-08,13,6,,193.31
2019-01-08,13,7,,160.07
2019-01-08,13,8,,206.97
2019-01-08,13,9,,29.66
2019-01-08,13,10,,133.8
2019-01-08,13,11,,209.11
2019-01-08,13,12,,52.91
2019-01-08,14,1,,216.91
2019-01-08,14,2,,71.93
2019-01-08,14,3,,185.71
2019-01-08,14,4,,323.04
2019-01-08,14,5,,141.22
2019-01-08,14,6,,60.33
2019-01-08,14,7,,6.73
2019-01-08,14,10,,4.76
2019-01-08,15,3,,36.28
2019-01-09,9,10,,11.6
2019-01-09,9,11,,4.48
2019-01-09,9,12,,2.07
2019-01-09,10,8,,4.37
2019-01-09,10,9,,96.51
2019-01-09,10,10,,98.48
2019-01-09,10,11,,215.6
2019-01-09,10,12,,298.69
2019-01-09,11,1,,187.16
